control,parameters,macs,gflops_2x_macs
control_msc_branches_2,29498067,13636972608,27.273945216
control_msc_branches_4,29647635,13655023872,27.310047744
control_msc_branches_5,29722419,13664049504,27.328099008
control_msc_dilations_1_2_3,29572851,13645998240,27.29199648
control_msc_dilations_1_3_7,29572851,13645998240,27.29199648
control_detail_16,29602739,14387253920,28.77450784
control_detail_64,29608979,14583517856,29.167035712
control_ds_1,29601204,14344383136,28.688766272
control_ds_2,29601397,14344754848,28.689509696
control_skip_attention_gate,29766726,13860754848,27.721509696
control_gdf_addition,29604819,14452675232,28.905350464
control_gdf_attention,29623347,15023624864,30.047249728
control_backbone_resnet34,22592374,12269094400,24.5381888
control_backbone_efficientnet_b0,4986090,4059248840,8.11849768
