epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,0.8798894139586902,0.0010165759761418616,0.0005086270388606603,4e-05,0.0004,28.593040943145752,True
2,0.6711852176714752,0.006028230800958616,0.003025221738166043,4e-05,0.0004,49.56211996078491,True
3,0.4392263581518267,0.4626175931521824,0.301733991929463,4e-05,0.0004,70.49519443511963,True
4,0.3811376510096378,0.6689798576491219,0.5033733589308602,4e-05,0.0004,91.27666878700256,True
5,0.3577681345040681,0.7655515330178397,0.6204780765942165,4e-05,0.0004,112.12750554084778,True
6,0.34338507691367726,0.7911967039108276,0.6547981670924595,4e-05,0.0004,133.39514708518982,True
7,0.3430835020835282,0.8065414599009922,0.6760725975036621,4e-05,0.0004,155.46421194076538,True
8,0.32260135353588665,0.8176552312714713,0.6918482780456543,4e-05,0.0004,176.93719601631165,True
9,0.3030896142857974,0.8263656071254185,0.7044280086244855,4e-05,0.0004,197.35854721069336,True
10,0.2983229091910065,0.8321134618350438,0.7129022393907819,4e-05,0.0004,218.21025967597961,True
11,0.293277985736972,0.8358652165957859,0.7184749245643616,4e-05,0.0004,239.25848484039307,True
12,0.2834133840486652,0.8386878456388202,0.7227121421269008,4e-05,0.0004,259.96886014938354,True
13,0.28351088649913914,0.8415306465966361,0.72697343145098,4e-05,0.0004,280.93962597846985,True
14,0.26840566513968295,0.844441967351096,0.731343822819846,4e-05,0.0004,301.87019395828247,True
15,0.26406605224140356,0.8470222524234227,0.7351933377129691,4e-05,0.0004,322.58665323257446,True
16,0.2902543796379058,0.8504272954804557,0.7402832593236651,4e-05,0.0004,344.1324977874756,True
17,0.27167493666781756,0.8534938778196063,0.74489825963974,4e-05,0.0004,365.5024287700653,True
18,0.26759062805136696,0.8565484625952584,0.7494856374604362,4e-05,0.0004,386.92025446891785,True
19,0.2611611429296556,0.8590514148984637,0.753337698323386,4e-05,0.0004,408.8801465034485,True
20,0.25630086269535,0.8619124633925301,0.7577158979007176,4e-05,0.0004,430.557279586792,True
21,0.2519105807191036,0.8637862716402326,0.7606109636170524,4e-05,0.0004,451.8266661167145,True
22,0.24282834129255326,0.8668196031025478,0.7652939898627145,4e-05,0.0004,473.71181297302246,True
23,0.24566037488765405,0.8690716028213501,0.7687792948314122,4e-05,0.0004,496.15750765800476,True
24,0.23914527038081748,0.8706511599676949,0.7712662049702236,4e-05,0.0004,517.9575991630554,True
25,0.23992705638291406,0.8714782851082938,0.7725603835923331,4e-05,0.0004,540.135858297348,True
26,0.22873740044773602,0.8731359754289899,0.7751710074288505,4e-05,0.0004,562.2169382572174,True
27,0.22367093748733646,0.8748701214790344,0.7779482092176165,4e-05,0.0004,584.0858683586121,True
28,0.2200547969732128,0.8751880271094186,0.7784831523895264,4e-05,0.0004,606.0607619285583,True
