epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,0.901654963863307,0.24329960346221924,0.13875228273017065,4e-05,0.0004,37.15292239189148,True
2,0.5855230757447539,0.3231142887047359,0.19322529222284043,4e-05,0.0004,59.79298949241638,True
3,0.4238131525086575,0.5330812122140612,0.3642505237034389,4e-05,0.0004,82.81945323944092,True
4,0.3830754722728104,0.7401009287152972,0.5879641175270081,4e-05,0.0004,105.80067658424377,True
5,0.3544630237290117,0.7760844571249825,0.6344349639756339,4e-05,0.0004,128.93528199195862,True
6,0.3394761708427648,0.7935906308037894,0.6581266607557025,4e-05,0.0004,151.46902441978455,True
7,0.32825487510102697,0.8054184317588806,0.6745554634502956,4e-05,0.0004,173.79991698265076,True
8,0.3231931494884804,0.814676148550851,0.6876610687800816,4e-05,0.0004,196.09290862083435,True
9,0.3068433780162061,0.8230588010379246,0.6996512498174395,4e-05,0.0004,218.08251976966858,True
10,0.3024861358228277,0.8290940182549613,0.708398563521249,4e-05,0.0004,240.12113308906555,True
11,0.2972734453248196,0.8342675226075309,0.7159573095185416,4e-05,0.0004,262.70732855796814,True
12,0.2879479383347464,0.8370014258793422,0.7199935742786953,4e-05,0.0004,284.6720998287201,True
13,0.275906862538369,0.839794227055141,0.7241209149360657,4e-05,0.0004,307.123601436615,True
14,0.27416146094681787,0.8434212974139622,0.7295245102473668,4e-05,0.0004,329.55200839042664,True
15,0.2639751781205662,0.8465499111584255,0.7342273848397392,4e-05,0.0004,352.5748052597046,True
16,0.29174258547728177,0.8501646859305245,0.7397000789642334,4e-05,0.0004,376.6573414802551,True
17,0.2803839540383855,0.8538062742778233,0.7452423317091805,4e-05,0.0004,400.9970681667328,True
18,0.28571232567068006,0.856820889881679,0.7498071449143546,4e-05,0.0004,425.6325523853302,True
19,0.27061328316321137,0.8591464076723371,0.7533599308558873,4e-05,0.0004,450.5097532272339,True
20,0.25640179632139987,0.8625723123550415,0.7586275253977094,4e-05,0.0004,474.8972237110138,True
