epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,0.9068343351627218,0.2401411703654698,0.13670036409582412,4e-05,0.0004,30.40498161315918,True
2,0.6049843464718491,0.28411637246608734,0.16590296583516256,4e-05,0.0004,53.014113903045654,True
3,0.4198914854252925,0.38934920515332905,0.2424252906015941,4e-05,0.0004,75.26961302757263,True
4,0.37834547093657195,0.6350534473146711,0.46594125032424927,4e-05,0.0004,97.64002251625061,True
5,0.3603442081662475,0.7461230158805847,0.5953349556241717,4e-05,0.0004,119.88471984863281,True
6,0.3456212160040121,0.778222382068634,0.6371531656810215,4e-05,0.0004,142.23542952537537,True
7,0.3305057902805141,0.7961929014750889,0.6616283144269671,4e-05,0.0004,164.8134343624115,True
8,0.31854810064933337,0.8090799365724836,0.6796270098005023,4e-05,0.0004,187.15861344337463,True
9,0.30491993637358555,0.8171494007110596,0.6910872203963143,4e-05,0.0004,207.97627925872803,True
10,0.3018392602928349,0.8237380981445312,0.7005078366824559,4e-05,0.0004,229.05517578125,True
11,0.2963685994265509,0.8293432252747672,0.7086628420012338,4e-05,0.0004,249.80733108520508,True
12,0.2856514099680009,0.8347962498664856,0.7166690911565509,4e-05,0.0004,270.43664145469666,True
13,0.2735537163546828,0.8390459077698844,0.722946720463889,4e-05,0.0004,291.4860415458679,True
14,0.26916102356598026,0.8431409341948373,0.7290510024343219,4e-05,0.0004,312.063273191452,True
15,0.26930710673332214,0.8470344543457031,0.7349084445408413,4e-05,0.0004,332.6532349586487,True
16,0.2906876961227323,0.8500879406929016,0.7395675437791007,4e-05,0.0004,354.0555603504181,True
17,0.2726578099317238,0.8543437719345093,0.7459938696452549,4e-05,0.0004,375.2591941356659,True
18,0.2754251145925678,0.8579752785818917,0.7515388216291156,4e-05,0.0004,396.54559326171875,True
19,0.26496001760490606,0.8614993265696934,0.7569582717759269,4e-05,0.0004,418.3605160713196,True
20,0.25497511175812265,0.864433194909777,0.7614927887916565,4e-05,0.0004,439.9153413772583,True
21,0.26126081850685057,0.8674274342400687,0.7661573886871338,4e-05,0.0004,461.13764357566833,True
22,0.24508813609842395,0.8704294562339783,0.7708566614559719,4e-05,0.0004,482.8362307548523,True
23,0.24787586854129542,0.8722896831376212,0.7737676330975124,4e-05,0.0004,504.55058765411377,True
24,0.23295628389374154,0.8739318336759295,0.7763198358672005,4e-05,0.0004,525.9743421077728,True
25,0.23095282912254333,0.8759137562343052,0.7794663735798427,4e-05,0.0004,547.8524417877197,True
26,0.23101659949685707,0.876987201826913,0.7811499323163714,4e-05,0.0004,569.3107943534851,True
27,0.23292857897086222,0.8775450076375689,0.7820351208959307,4e-05,0.0004,590.5797033309937,True
28,0.21940813836504203,0.8782873834882464,0.7832310795783997,4e-05,0.0004,612.2619605064392,True
29,0.2211323082447052,0.8790401646069118,0.7844572407858712,4e-05,0.0004,633.7402749061584,True
30,0.2082927757110752,0.880884621824537,0.7874041029385158,4e-05,0.0004,654.9796087741852,True
31,0.22637840274904594,0.8824471150125776,0.7899221863065448,4e-05,0.0004,676.6422386169434,True
32,0.21353034162130513,0.8831775954791478,0.7911229389054435,4e-05,0.0004,698.0127642154694,True
33,0.2092740157100021,0.8845046077455793,0.7932352593966893,4e-05,0.0004,719.3101351261139,True
34,0.20392080506340401,0.8848315988268171,0.7937560081481934,4e-05,0.0004,740.6610016822815,True
35,0.20354143786625783,0.8853564858436584,0.7945806554385594,4e-05,0.0004,762.2007749080658,True
36,0.19930322321711993,0.8850821001189095,0.7941235985074725,4e-05,0.0004,783.5647211074829,False
37,0.20039977817261806,0.8849024176597595,0.7938648973192487,4e-05,0.0004,804.5335581302643,False
38,0.19364402308815815,0.8852197783333915,0.7943729928561619,4e-05,0.0004,825.25359416008,False
39,0.19176281182492366,0.8850728358541217,0.7941433106149945,4e-05,0.0004,846.1815083026886,False
40,0.1919165268296101,0.886665437902723,0.7966797777584621,4e-05,0.0004,866.9897999763489,True
41,0.19758154598415875,0.8878727214676994,0.7985617092677525,4e-05,0.0004,888.744677066803,True
42,0.18948549105495702,0.8895193678992135,0.8011993425233024,4e-05,0.0004,910.2066695690155,True
43,0.18660146755273224,0.8901286806379046,0.8022052390234811,4e-05,0.0004,931.4943923950195,True
44,0.18739371050576695,0.8923041139330182,0.8057083317211696,4e-05,0.0004,954.1311717033386,True
45,0.18284964610318669,0.8943268486431667,0.8089968987873623,4e-05,0.0004,975.8305876255035,True
46,0.1824455880483643,0.8952724933624268,0.8105293938091823,4e-05,0.0004,997.2439365386963,True
47,0.17849880847774569,0.8957544905798775,0.8113332731383187,4e-05,0.0004,1019.4522969722748,True
48,0.1799180958358968,0.8957750371524266,0.8114019206592015,4e-05,0.0004,1040.6851437091827,True
49,0.17836034395655648,0.8953136546271188,0.8106786268098014,4e-05,0.0004,1062.0144193172455,False
50,0.17778388081026858,0.8959227119173322,0.8116742202213832,4e-05,0.0004,1083.1144971847534,True
51,0.17625982008996557,0.897000619343349,0.8134426048823765,4e-05,0.0004,1104.2676372528076,True
52,0.17759540115223557,0.8970545530319214,0.8135351708957127,4e-05,0.0004,1125.4562335014343,True
53,0.16898728638398844,0.8976695963314602,0.8145846809659686,4e-05,0.0004,1147.23623752594,True
54,0.16856127403310087,0.8994028908865792,0.8175155009542193,4e-05,0.0004,1168.57199883461,True
55,0.1636442353979486,0.9003252983093262,0.819063127040863,4e-05,0.0004,1189.8997642993927,True
56,0.16642589720546222,0.9013341494968959,0.8207715579441616,4e-05,0.0004,1211.6258120536804,True
