epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,0.8961577494939168,0.1296524064881461,0.06938584840723447,4e-05,0.0004,29.382392168045044,True
2,0.6890738967989312,0.314252678837095,0.18677876889705658,4e-05,0.0004,51.46479272842407,True
3,0.43899115675785505,0.3572587924344199,0.2179561640535082,4e-05,0.0004,73.72855877876282,True
4,0.38938948951783725,0.6240970236914498,0.45489061304501127,4e-05,0.0004,95.92568063735962,True
5,0.3504693076014519,0.7612260665212359,0.6159450837544033,4e-05,0.0004,117.79974555969238,True
6,0.33112819150823064,0.791608887059348,0.6567551749093192,4e-05,0.0004,139.6770796775818,True
7,0.313338006617593,0.8071607521602085,0.6785031982830593,4e-05,0.0004,161.12997150421143,True
8,0.29836384048227405,0.8193152121135167,0.695786850793021,4e-05,0.0004,182.74505615234375,True
9,0.2912501331235542,0.8283263274601528,0.7087229490280151,4e-05,0.0004,204.41573333740234,True
10,0.2848890658284797,0.8371585096631732,0.7216082555907113,4e-05,0.0004,226.3825867176056,True
11,0.2720494194597494,0.8434298379080636,0.7307978272438049,4e-05,0.0004,248.22211527824402,True
12,0.26387425939567755,0.8506280609539577,0.7415044478007725,4e-05,0.0004,269.9346652030945,True
13,0.26215902801419866,0.856199494429997,0.7499012351036072,4e-05,0.0004,291.82015323638916,True
14,0.2542136699938383,0.8598337939807347,0.7554287484713963,4e-05,0.0004,313.30010533332825,True
15,0.25043675132462234,0.8627289193017142,0.7598914589200702,4e-05,0.0004,335.1103069782257,True
16,0.27868961261921243,0.8662621293749128,0.7654439466340202,4e-05,0.0004,357.99910950660706,True
17,0.261523432174667,0.8670710325241089,0.766755393573216,4e-05,0.0004,380.72250866889954,True
18,0.2552345224091264,0.8685353142874581,0.7689929519380841,4e-05,0.0004,403.69183707237244,True
19,0.24800559194361577,0.8696533100945609,0.7707650235721043,4e-05,0.0004,426.8614695072174,True
