epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,0.8540637513338509,0.1535705498286656,0.08343235509736198,4e-05,0.0004,40.537593603134155,True
2,0.747650541243006,0.13992504243339812,0.07537257990666799,4e-05,0.0004,66.02278566360474,False
3,0.45417180510817984,0.39153026257242474,0.24408372172287532,4e-05,0.0004,90.84890127182007,True
4,0.3945168393557189,0.6927800689424787,0.5311884965215411,4e-05,0.0004,115.09786796569824,True
5,0.3673663764703469,0.7682709864207676,0.6252105917249408,4e-05,0.0004,138.56268286705017,True
6,0.3508784643939284,0.7905450292995998,0.6551956193787711,4e-05,0.0004,162.41678428649902,True
7,0.3289179684685879,0.8032108289854867,0.6727022698947361,4e-05,0.0004,185.68898606300354,True
8,0.31317244030413083,0.814665709223066,0.6888365915843419,4e-05,0.0004,209.19488430023193,True
9,0.30777211169727514,0.8219647918428693,0.6992475305284772,4e-05,0.0004,232.837886095047,True
10,0.2963780289302107,0.8277023264339992,0.7075442927224296,4e-05,0.0004,256.24088048934937,True
11,0.29266985957739783,0.8327344230243138,0.7149166464805603,4e-05,0.0004,279.7477538585663,True
12,0.2896446991162222,0.8371603914669582,0.7215407064982823,4e-05,0.0004,303.297997713089,True
13,0.2697534116565204,0.84077502148492,0.7269656573023114,4e-05,0.0004,326.8945882320404,True
14,0.2751284395573569,0.8446188909666879,0.7326731341225761,4e-05,0.0004,350.5111758708954,True
15,0.26933148820869257,0.8465303523199899,0.7355122821671622,4e-05,0.0004,374.17535948753357,True
16,0.29131644744364943,0.8506670083318438,0.7416699784142631,4e-05,0.0004,398.31978607177734,True
17,0.2802531321029194,0.8548686759812492,0.7480369210243225,4e-05,0.0004,422.65911531448364,True
18,0.2673750627236288,0.8569723793438503,0.7512638483728681,4e-05,0.0004,447.0805640220642,True
19,0.2658674709621023,0.8600778750010899,0.7560588887759617,4e-05,0.0004,471.55832505226135,True
20,0.2576510549568739,0.8629226088523865,0.7604487793786185,4e-05,0.0004,495.9698305130005,True
21,0.2561631202697754,0.8651045220238822,0.7637582506452288,4e-05,0.0004,520.2684419155121,True
22,0.24847826434940587,0.8672056368419102,0.7670135753495353,4e-05,0.0004,544.4108290672302,True
23,0.2466295613128631,0.8680406808853149,0.7682861345154899,4e-05,0.0004,569.0389606952667,True
24,0.2383582521168912,0.8697125826563153,0.7708958217075893,4e-05,0.0004,593.4050991535187,True
25,0.233809624539047,0.8714285663196019,0.7734954527446202,4e-05,0.0004,618.0505256652832,True
26,0.2331478905970933,0.8727315068244934,0.7754737223897662,4e-05,0.0004,642.4162137508392,True
27,0.22674719598449644,0.8749535424368722,0.7789223875318255,4e-05,0.0004,666.7835223674774,True
28,0.22349809134592774,0.8769585064479283,0.782186039856502,4e-05,0.0004,691.2888512611389,True
29,0.21489388336900805,0.8782773017883301,0.7843959331512451,4e-05,0.0004,715.4714345932007,True
30,0.21047532900435026,0.8791360259056091,0.7858410988535199,4e-05,0.0004,739.9242832660675,True
31,0.21258922263247068,0.879310837813786,0.786181994846889,4e-05,0.0004,764.4144840240479,True
32,0.2153267745600372,0.880797837461744,0.7885193484170097,4e-05,0.0004,788.5812630653381,True
33,0.20879050369064014,0.8830358471189227,0.7920182602746146,4e-05,0.0004,812.8969812393188,True
34,0.20829151399800036,0.885227518422263,0.795451649597713,4e-05,0.0004,837.2916314601898,True
35,0.2006409654363257,0.883860877582005,0.79320570400783,4e-05,0.0004,861.7887926101685,False
36,0.20284374717806206,0.8848160079547337,0.7947210499218532,4e-05,0.0004,885.4964492321014,False
37,0.19507071102658907,0.8862229926245553,0.796988674572536,4e-05,0.0004,909.0530126094818,True
38,0.19394792103376546,0.8876491444451469,0.7993009260722569,4e-05,0.0004,933.6348185539246,True
39,0.19179316939877683,0.8863021561077663,0.7972205025809151,4e-05,0.0004,958.027854681015,False
40,0.1953455016749804,0.8856716581753322,0.7961551291601998,4e-05,0.0004,981.6709804534912,False
41,0.1896840084771641,0.8852950249399457,0.7955571157591683,4e-05,0.0004,1005.2496671676636,False
42,0.18517791687465104,0.8860424416405814,0.7967418347086225,4e-05,0.0004,1028.8695333003998,False
43,0.1846540426133109,0.8875730207988194,0.7992029190063477,4e-05,0.0004,1052.6124167442322,False
44,0.18500904714474914,0.8886527333940778,0.8009954690933228,4e-05,0.0004,1076.2584869861603,True
45,0.18406628487540072,0.888647735118866,0.8009916458811078,4e-05,0.0004,1100.802630662918,False
46,0.296314253425989,0.8868361285754612,0.7981784343719482,4e-05,0.0004,1126.4741814136505,False
47,0.26452078829046155,0.8845349209649223,0.7945223791258675,4e-05,0.0004,1152.0789139270782,False
48,0.2402750842395376,0.887252220085689,0.798791936465672,4e-05,0.0004,1178.0983219146729,False
49,0.23768623344233777,0.8855425204549517,0.7961092420986721,4e-05,0.0004,1203.7957162857056,False
50,0.21606038339802477,0.8847411956105914,0.7949122360774449,4e-05,0.0004,1229.4711937904358,False
51,0.219257225511504,0.8858813643455505,0.7968343411173139,4e-05,0.0004,1255.106076002121,False
52,0.21238636457529225,0.8888111965996879,0.8018164549555097,4e-05,0.0004,1281.2332677841187,True
53,0.21346936802395056,0.8906922595841544,0.8049912282398769,4e-05,0.0004,1307.5781490802765,True
54,0.20422538992811423,0.8920504961694989,0.8071041022028241,4e-05,0.0004,1334.0679078102112,True
55,0.19769860242233903,0.8946374825068882,0.8112039225442069,4e-05,0.0004,1360.978776216507,True
56,0.1941316958333625,0.8944998213223049,0.8109536511557442,4e-05,0.0004,1387.4718792438507,False
57,0.19934724027016124,0.8965922338621957,0.8142051526478359,4e-05,0.0004,1413.4062592983246,True
58,0.1917384042114508,0.8982192703655788,0.8166445323399135,4e-05,0.0004,1440.1353845596313,True
59,0.18955815143761087,0.9015147345406669,0.8218558515821185,4e-05,0.0004,1466.8241045475006,True
60,0.19361929546614162,0.9026776126452855,0.8236008201326642,4e-05,0.0004,1493.629033088684,True
61,0.1807116775727663,0.9036979504993984,0.8252717171396527,4e-05,0.0004,1520.4454157352448,True
62,0.18486246674275789,0.9052370020321437,0.8278265765735081,4e-05,0.0004,1546.97558927536,True
63,0.18197154485788503,0.9078200289181301,0.8320498211043221,4e-05,0.0004,1573.6181101799011,True
64,0.17948697556237705,0.909524849482945,0.8348636286599296,4e-05,0.0004,1600.413726568222,True
65,0.177320125283765,0.9093344381877354,0.8344982010977608,4e-05,0.0004,1627.1356627941132,False
66,0.17270215075524126,0.9090734549931118,0.8341319646154132,4e-05,0.0004,1653.0481848716736,False
67,0.167191388543512,0.9098913839885167,0.8355039187840053,4e-05,0.0004,1678.8466360569,True
68,0.1686026506492349,0.9117794803210667,0.8386046886444092,4e-05,0.0004,1705.924608707428,True
69,0.1653871961304399,0.9126298683030265,0.8400661860193525,4e-05,0.0004,1732.4225730895996,True
70,0.15957437211372813,0.9129515034811837,0.8406224761690412,4e-05,0.0004,1759.1633877754211,True
71,0.16454771014510608,0.9137189132826669,0.8418563944952828,4e-05,0.0004,1785.7354576587677,True
72,0.1693506104047181,0.9130407571792603,0.84074809721538,4e-05,0.0004,1812.2611799240112,False
73,0.160697089721922,0.912846497126988,0.8403468132019043,4e-05,0.0004,1838.350732088089,False
74,0.1571890887666921,0.9130441887038094,0.840641805103847,4e-05,0.0004,1863.9893682003021,False
75,0.15828200576246762,0.9119991830417088,0.8388559307370868,4e-05,0.0004,1889.817996263504,False
76,0.2186880057952443,0.9096572569438389,0.8348980971745082,4e-05,0.0004,1916.4555497169495,False
77,0.19626848375210998,0.9120166046278817,0.8387641310691833,4e-05,0.0004,1943.3979406356812,False
78,0.18716698127691864,0.9111609884670803,0.837339733328138,4e-05,0.0004,1969.9995222091675,False
79,0.18248004527365574,0.9116470558302743,0.838160080569131,4e-05,0.0004,1996.6814970970154,False
80,0.1798508541017282,0.9108469826834542,0.8367944189480373,4e-05,0.0004,2023.5540523529053,False
81,0.18201407203908826,0.9116475837571281,0.8381802354540143,4e-05,0.0004,2050.5306310653687,False
82,0.1789681712379221,0.9111233013016837,0.8373830659048898,4e-05,0.0004,2077.4936788082123,False
83,0.17477736597666976,0.9123333351952689,0.8394992010934013,4e-05,0.0004,2104.2432441711426,False
84,0.1662170860122462,0.9124089053698948,0.8396975908960614,3.6e-05,0.00036,2131.0805263519287,False
85,0.17056139424198963,0.913187963621957,0.840868524142674,3.6e-05,0.00036,2158.094686985016,False
86,0.16200142536984116,0.9164876937866211,0.8463667801448277,3.6e-05,0.00036,2184.8076045513153,True
87,0.1590788192192062,0.9176197222300938,0.8482099005154201,3.6e-05,0.00036,2212.6250200271606,True
88,0.16619428344925896,0.916994937828609,0.8470891458647591,3.6e-05,0.00036,2240.527612686157,False
89,0.16648698170654108,0.9177892974444798,0.8484109129224505,3.6e-05,0.00036,2267.598695755005,True
90,0.16165529069353324,0.9187149490628924,0.8499823127474103,3.6e-05,0.00036,2295.1211125850677,True
91,0.15767591996271102,0.9195358668054853,0.8513866662979126,3.6e-05,0.00036,2323.0245819091797,True
92,0.16269945402125843,0.9189769625663757,0.8504719989640372,3.6e-05,0.00036,2350.5225596427917,False
