epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,2.0164377463274987,0.23218447608607157,0.1315074318221637,2.8000000000000003e-06,2.8e-05,33.254624366760254,True
2,1.0247355885192997,0.09767622394221169,0.05135441039289747,4.6e-06,4.6e-05,58.43458938598633,False
3,0.8579770893347068,0.0239349188549178,0.012115395095731531,6.4e-06,6.4e-05,83.528813123703,False
4,0.8068376124882307,0.0072400074319115704,0.003634829822528575,8.2e-06,8.2e-05,108.03056168556213,False
5,0.7907929273902393,0.0030352491095462547,0.001520612875797919,1e-05,0.0001,133.04379510879517,False
6,0.7790468706459296,0.0014172939637709142,0.0007093542688900405,9.999416012371187e-06,9.999357613608304e-05,158.76145815849304,False
7,0.7737105234724576,0.00029361269571272393,0.0001468506643494006,9.997664201058768e-06,9.997430621164644e-05,184.29500603675842,False
8,0.7694577946037543,0.0001058454104450534,5.2934947522566096e-05,9.99474502074547e-06,9.994219522820017e-05,210.53172659873962,False
9,0.7579074296794954,6.53136936577492e-05,3.266394175857565e-05,9.990659229104713e-06,9.989725152015183e-05,237.14233136177063,False
10,0.5882837469460535,0.0022883311861992945,0.0011457360773679934,9.985407886603948e-06,9.98394867526434e-05,263.3728139400482,False
11,0.4285471502874718,0.3279879220894405,0.19710038602352142,9.978992356229422e-06,9.976891591852361e-05,290.26530289649963,True
12,0.40758034684618966,0.6922160727637154,0.5299602491515023,9.971414303132411e-06,9.96855573344565e-05,317.2792065143585,True
13,0.3912537391068506,0.7741042631013053,0.6320992452757699,9.962675694197031e-06,9.958943263616733e-05,344.2696132659912,True
14,0.3777538020102704,0.7899975776672363,0.653365067073277,9.952778797529732e-06,9.948056677282704e-05,371.0881097316742,True
15,0.3627039580071559,0.7988529971667698,0.665503808430263,9.94172618187061e-06,9.935898800057669e-05,398.61537623405457,True
16,0.4304955508865294,0.8041897245815822,0.6729277798107692,9.929520715926692e-06,9.92247278751936e-05,426.7812695503235,True
17,0.3878976438866287,0.8110212853976658,0.6825119427272252,9.916165567627364e-06,9.907782124390098e-05,455.63622879981995,True
18,0.36757942594465665,0.8192575914519173,0.6942410724503654,9.90166420330213e-06,9.89183062363234e-05,482.18927216529846,True
19,0.36234203127563974,0.826929007257734,0.7053197366850716,9.886020386780929e-06,9.87462242545902e-05,508.92441987991333,True
20,0.34670192100962655,0.8321958439690726,0.7130062920706612,9.869238178417237e-06,9.85616199625896e-05,535.8217530250549,True
21,0.3400497607520369,0.836731663772038,0.7196655443736485,9.851321934034197e-06,9.836454127437616e-05,562.2435853481293,True
22,0.3370168345873473,0.8410777023860386,0.7261053238596235,9.832276303794062e-06,9.815503934173466e-05,588.9929084777832,True
23,0.31338020719465665,0.8451191357203892,0.7321307488850185,9.812106230991252e-06,9.793316854090375e-05,615.8793625831604,True
24,0.31380327168058175,0.8488734023911613,0.7377756578581673,9.790816950769318e-06,9.769898645846248e-05,642.4694912433624,True
25,0.31437219019796026,0.8522847805704389,0.7429220165525164,9.76841398876216e-06,9.745255387638372e-05,669.417046546936,True
26,0.35295608395435774,0.8549749851226807,0.7469917365482875,9.744903159659848e-06,9.719393475625831e-05,697.4672660827637,True
27,0.3509733857678585,0.8569361993244716,0.7499786955969674,9.720290565699426e-06,9.692319622269366e-05,725.2268500328064,True
28,0.32849807328865177,0.8589042340006147,0.7529740589005607,9.69458259508106e-06,9.664040854589164e-05,753.2006204128265,True
29,0.33007299313779737,0.8617556946618217,0.7573560476303101,9.667785920309998e-06,9.634564512340996e-05,780.9986336231232,True
30,0.32384834572917126,0.8650033729416984,0.7623790928295681,9.639907496464713e-06,9.603898246111183e-05,808.6961767673492,True
31,0.31203287497895665,0.8672576546669006,0.7658895594733102,9.610954559391706e-06,9.572050015330877e-05,836.4355983734131,True
32,0.3120041597084921,0.8697531649044582,0.7697943023272923,9.580934623827456e-06,9.539028086210203e-05,864.4040913581848,True
33,0.2981155710142167,0.8712923441614423,0.772209107875824,9.549855481447956e-06,9.504841029592752e-05,892.0413634777069,True
34,0.30181409662864245,0.8735815371785846,0.7758111613137382,9.517725198846389e-06,9.46949771873103e-05,920.5738949775696,True
