row_type,dataset,name,mean,sample_std
metric,Kvasir-SEG,mDice,0.9312840165694555,0.0044228475206394245
metric,Kvasir-SEG,mIoU,0.8825943290193876,0.006178943884898739
metric,Kvasir-SEG,F_beta_w,0.9113158318956013,0.005337275015844386
metric,Kvasir-SEG,S_alpha,0.9330680669644644,0.0025685034657635794
metric,Kvasir-SEG,mE_phi,0.9601680096652111,0.002692971626808567
metric,Kvasir-SEG,maxE_phi,0.9664853837285169,0.002647600833831649
metric,Kvasir-SEG,MAE,0.023959924820299447,0.0007220887970308123
metric,CVC-ClinicDB,mDice,0.9370311077243538,0.0024221672638681806
metric,CVC-ClinicDB,mIoU,0.8877346896997063,0.0037731995665761793
metric,CVC-ClinicDB,F_beta_w,0.9253864820500117,0.002721176377895674
metric,CVC-ClinicDB,S_alpha,0.9466457201439521,0.0011891009055441269
metric,CVC-ClinicDB,mE_phi,0.9775767974518983,0.0007223660798731955
metric,CVC-ClinicDB,maxE_phi,0.9824927613421023,0.0007002574360192555
metric,CVC-ClinicDB,MAE,0.01086815524827675,0.00025873298208434827
metric,CVC-300,mDice,0.882060580287522,0.0015538695339805677
metric,CVC-300,mIoU,0.8103940237735503,0.0017533825125618753
metric,CVC-300,F_beta_w,0.8570844992834237,0.0009930639879518002
metric,CVC-300,S_alpha,0.928070668514178,0.003038474611982672
metric,CVC-300,mE_phi,0.9558099910071554,0.004722144311847565
metric,CVC-300,maxE_phi,0.9705956203450337,0.0014903894270305235
metric,CVC-300,MAE,0.007368013768342878,0.00026033823633884345
metric,CVC-ColonDB,mDice,0.7943508477895228,0.008867278207265246
metric,CVC-ColonDB,mIoU,0.7141777512629555,0.008620095219683644
metric,CVC-ColonDB,F_beta_w,0.7715161651292933,0.006550082578688906
metric,CVC-ColonDB,S_alpha,0.8612359881976512,0.005970650306722299
metric,CVC-ColonDB,mE_phi,0.8983143032237308,0.004010572727070557
metric,CVC-ColonDB,maxE_phi,0.9050430894627862,0.0037529794340240784
metric,CVC-ColonDB,MAE,0.03486104721985164,0.001042133254253466
metric,ETIS-LaribPolypDB,mDice,0.7869803391509068,0.011341119411546698
metric,ETIS-LaribPolypDB,mIoU,0.7071183601062877,0.01203518956689013
metric,ETIS-LaribPolypDB,F_beta_w,0.7531651960490141,0.0074373533392624765
metric,ETIS-LaribPolypDB,S_alpha,0.87796646820905,0.0036727598414036207
metric,ETIS-LaribPolypDB,mE_phi,0.902404209487431,0.0023803129781724596
metric,ETIS-LaribPolypDB,maxE_phi,0.9156906861954022,0.002840034299264145
metric,ETIS-LaribPolypDB,MAE,0.014617192625466045,0.0007901778875989225
complexity,,trainable_parameters,30057415.0,0.0
complexity,,total_parameters,30057415.0,0.0
complexity,,macs,13909244496.0,0.0
complexity,,flops,27818488992.0,0.0
complexity,,gmacs,13.909244496,0.0
complexity,,gflops,27.818488992,0.0
