epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best,fg_mscb_alpha1_mean,fg_mscb_alpha1_std,fg_mscb_alpha3_mean,fg_mscb_alpha3_std,fg_mscb_alpha5_mean,fg_mscb_alpha5_std,fg_mscb_guidance_strength
1,1.2498566724103073,0.23839777069432394,0.1355722291128976,8.4e-06,8.399999999999998e-05,40.0799355506897,True,1.000205692669441,0.00014593813275345192,0.9996893761486843,0.00015761807754001545,1.0001049332372074,7.659370737984417e-05,0.05006133019924164
2,0.8898589093177045,0.25400152802467346,0.14576829544135503,1.3799999999999998e-05,0.00013799999999999997,74.40142965316772,True,1.0000772563753457,0.00015817294923889356,0.9994203977338199,0.0001872424312818097,1.0005023498781795,0.00022391069457787914,0.05013624578714371
3,0.8080635647304723,0.3073760185922895,0.18206281747136796,1.9199999999999996e-05,0.00019199999999999995,108.55411052703857,True,0.9971525288861374,0.0023494882999452226,0.9997863667586754,0.000490712273226354,1.0030611062049866,0.002671708940361647,0.058959320187568665
4,0.7337093030820128,0.3814644856112344,0.23641168858323777,2.4599999999999995e-05,0.00024599999999999996,142.89429211616516,True,0.9803993174125408,0.009076270784822727,0.9920980609696487,0.004243705607225868,1.0275026204668243,0.012746869952625126,0.07245859503746033
5,0.5477139832543545,0.4329490661621094,0.2774070884500231,2.9999999999999997e-05,0.0003,177.23716282844543,True,0.9939313126432484,0.013415888164552909,0.9756344753709333,0.023770814986829734,1.0304342182340294,0.02950867768712409,0.07209963351488113
6,0.45513320750877506,0.3560525136334555,0.21806471049785614,2.999811826208493e-05,0.0002999805986332205,211.80167055130005,False,1.0994956387322525,0.08984699931869321,0.9755783357291387,0.03776812442619056,0.9249260239765562,0.10176067466081135,0.08553370833396912
7,0.42243503644818164,0.32637726409094675,0.19595446118286677,2.9992473536744915e-05,0.00029992239956850794,245.35907554626465,False,1.4761221051216125,0.3273325030810777,0.8196928184607933,0.12223525298820477,0.7041850780721368,0.2160804779084872,0.08591493964195251
8,0.39146836614999614,0.44295601333890644,0.2856327678476061,2.9983067289068734e-05,0.0002998254179114328,278.923397064209,True,1.3569691852865549,0.24122388876197737,0.8408111834937129,0.0782903498583562,0.8022196382284165,0.17052921491756082,0.08598310500383377
9,0.36071226929054884,0.5902589474405561,0.42028193388666424,2.9969901960448513e-05,0.00029968967883358983,313.18265175819397,True,1.2918295474710135,0.2126675619057967,0.8348014690547154,0.08345173437966735,0.8733689812339586,0.14169510811452235,0.08499819785356522
10,0.3421025168700296,0.6787547383989606,0.514767838375909,2.9952980967946045e-05,0.0002995152175660644,347.30663871765137,True,1.26696317236999,0.20599152947990862,0.8095285869877914,0.09565116695781396,0.9235082474248163,0.13187037828331805,0.08504229784011841
11,0.3361178617008397,0.7490254555429731,0.5997048957007272,2.9932308703405904e-05,0.00029930207939028844,381.44378900527954,True,1.2331017142739789,0.21673914442671427,0.7643241213930064,0.1269894059932675,1.0025741678065268,0.16191256126333428,0.08574437350034714
12,0.31772667293747264,0.794968238898686,0.6606030549321856,2.990789053231554e-05,0.0002990503196262878,415.6583847999573,True,1.1654974298230534,0.18466938868891308,0.7352098690435804,0.14120706528830704,1.0992927026337591,0.15765051033781602,0.08556237071752548
13,0.3158334913800974,0.8225560188293457,0.6993373376982552,2.987973279241265e-05,0.00029876000361832354,450.03008699417114,True,1.1476004804413895,0.1850709463294786,0.7137004196232762,0.15551281704662884,1.1386991063068652,0.1370325597556482,0.08666260540485382
14,0.31070073632920375,0.842799893447331,0.7289971538952419,2.9847842792040242e-05,0.00029843120671793215,484.4495882987976,True,0.9831467747688294,0.14996549205042736,0.7028305895883461,0.1584308976944544,1.3140226415519056,0.20879673277510985,0.08677756041288376
15,0.2892322948233026,0.8597300733838763,0.7546105895723615,2.9812228808249737e-05,0.00029806401426436796,518.8376369476318,True,0.8927263739191252,0.1301848783223033,0.6579035726806213,0.17111654499863493,1.4493700562674423,0.24596115741506194,0.08664297312498093
16,0.2862682674751907,0.8726315753800529,0.7746440853391375,2.977290008465267e-05,0.0002976585215624534,553.2018573284149,True,0.9202353999943569,0.11139288517824952,0.6873634060909009,0.1594527272534243,1.3924012007384465,0.19598039175276133,0.08670038729906082
17,0.284459828353319,0.8822763136454991,0.7898637482098171,2.9729866829021498e-05,0.0002972148338578424,587.0516822338104,True,0.8954127872606804,0.12077333934980584,0.6721134047672667,0.17262649569915786,1.4324738051151407,0.21682477650845236,0.0897018238902092
18,0.2815854656891745,0.8884803567613874,0.7998116527284894,2.9683140210640187e-05,0.000296733066309704,621.355699300766,True,0.8759600984639135,0.12540117010662055,0.7070587968517994,0.17659672949122085,1.4169811063799365,0.212478212441839,0.08884585648775101
19,0.26148430099252795,0.8922610112598964,0.8059779235294887,2.963273235740521e-05,0.00029621334396083305,655.9449355602264,True,0.7967678915221116,0.1483643231068449,0.635876577655817,0.21113039485108429,1.5673555326461792,0.31419154206166805,0.09278201311826706
20,0.2629023067286757,0.8962369305746896,0.812500638621194,2.9578656352677758e-05,0.0002956558017051948,690.1079823970795,True,0.7692160298700991,0.13189071556723955,0.6850581992237732,0.20653435401096953,1.5457257718053357,0.2819510191282453,0.09190863370895386
21,0.26055226707067647,0.8989835977554321,0.8170093212808881,2.952092623188796e-05,0.00029506058425291383,724.3498065471649,True,0.819404653639629,0.13222197673296537,0.7389526724507068,0.21019495172840177,1.4416426738377275,0.24621748324037612,0.08970358222723007
22,0.2611373469966357,0.9025949580328805,0.8229312726429531,2.9459556978891967e-05,0.0002944278460927138,758.4578399658203,True,0.7859308686955222,0.1317959272025488,0.7998638491589447,0.20642596738888794,1.4142052828032394,0.23765886545623074,0.09098106622695923
23,0.24865152967757867,0.9045214993613107,0.8261282188551766,2.9394564522082912e-05,0.00029375775145182043,792.8239183425903,True,0.7578117950414789,0.1068703724867713,0.9849699995538284,0.22565308728840336,1.2572182058465893,0.24110483266494548,0.08920369297266006
24,0.2441047781803569,0.9054044910839626,0.8276272330965314,2.932596573025668e-05,0.0002930504742533362,826.8228783607483,True,0.7689402430427486,0.11092372741596322,0.8464565954434461,0.22587291484088692,1.3846031584821898,0.2616986587562594,0.09116995334625244
25,0.24378388558254868,0.9072229010718209,0.8306300129209246,2.925377840823361e-05,0.00029230619807109836,861.4345233440399,True,0.7067576466141076,0.13289942413232972,0.7137878426190081,0.24758826205788695,1.5794545141170764,0.3265760100457862,0.09306943416595459
26,0.24071008944120564,0.9084158284323556,0.8325797319412231,2.9178021292237275e-05,0.0002915251160820327,895.6832051277161,True,0.7855564983137723,0.1400016257678488,0.748832443325684,0.2557215445713877,1.4656110596245733,0.28442575209525556,0.09379547089338303
27,0.23647877158688718,0.9097787397248405,0.8349077275821141,2.9098714045031468e-05,0.00029070743101601424,929.7090058326721,True,0.803789555502349,0.15578489451227012,0.7667465246571549,0.25950875663208733,1.429463923265194,0.2869667394195778,0.09549231082201004
28,0.23396729787842171,0.9126277906554086,0.8396726420947483,2.9015877250816737e-05,0.0002898533551032486,963.9857656955719,True,0.8844306395999316,0.1796832153367698,0.6939160545427224,0.25861668229970575,1.4216533016747441,0.2935756978173806,0.09522733837366104
29,0.22994404249503964,0.9143264208521161,0.842514421258654,2.892953240988776e-05,0.00028896311001918776,998.3153214454651,True,0.8155735427243956,0.18334480807761433,0.6658975056327623,0.2359498966785795,1.5185289538317712,0.334662679908729,0.09691648930311203
30,0.22932632072050063,0.9150913272585187,0.8437978284699577,2.8839701933052952e-05,0.0002880369268269944,1032.3492267131805,True,0.8120727305782253,0.2111988181170241,0.6283090343506171,0.23898922517843207,1.5596182383751047,0.35729731010858484,0.09482782334089279
31,0.22689153034178938,0.9146508659635272,0.8430637632097516,2.874640913581771e-05,0.000287075045917569,1066.687733888626,False,0.6986491775307162,0.21255735677903684,0.6299148628488183,0.24843278893063203,1.6714359626687807,0.4205029713371292,0.09603817760944366
32,0.23167101428156994,0.9145639283316476,0.8429420420101711,2.8649678232332905e-05,0.0002860777169471567,1100.1304771900177,False,0.7389441095343952,0.2086291443817508,0.6443555960624382,0.2551042571678073,1.6167002977173903,0.428887803683339,0.096552275121212
33,0.21753661847505412,0.9149989996637616,0.8436910424913678,2.854953432911007e-05,0.0002850451987725488,1133.4489600658417,False,0.6369427967302758,0.2287467725557359,0.5498322967658269,0.2555335109544753,1.8132249095111057,0.45098305275700323,0.1014551892876625
34,0.22350754796481523,0.9147489411490304,0.8432665041514805,2.8446003418505023e-05,0.0002839777593838968,1166.6429991722107,False,0.647717589864443,0.26600081601973796,0.535940355415745,0.2590888905320079,1.8163420541944175,0.48461851361497954,0.10301681607961655
35,0.21472692685049088,0.9147121991430011,0.8432484865188599,2.8339112371971534e-05,0.00028287567583515496,1200.0997788906097,False,0.6993068679589136,0.2757363579063926,0.5288876726796272,0.26128803167391146,1.7718054629194326,0.4821678851673371,0.10751278698444366
36,0.2160068547627965,0.9146747674260821,0.8432193994522095,2.822888893308686e-05,0.0002817392341721716,1233.1437819004059,False,0.7523598864659715,0.31254826790878876,0.4940535843944988,0.2646233824846407,1.7535865317541977,0.5087183899256075,0.10276373475790024
37,0.2142636775970459,0.9153487256595066,0.8443827714238848,2.8115361710350864e-05,0.0002805687293584453,1266.7678682804108,True,1.0993904896870512,0.5068921291914339,0.42529162750820276,0.24059859501143455,1.4753178842314358,0.5545227715640368,0.10687936097383499
38,0.2115044970004285,0.916378745010921,0.846118015902383,2.7998560169760707e-05,0.0002793644651985675,1300.8394176959991,True,1.3368399618334812,0.5501220296425555,0.36600491282337444,0.22881801128224605,1.2971551234352177,0.5549560335592217,0.10897991061210632
39,0.20911669315861875,0.9161483219691685,0.845789475100381,2.787851462716294e-05,0.0002781267542593698,1334.903137922287,False,1.3992008521947368,0.5926088824877591,0.30845103078088243,0.21331872008104266,1.2923481197089985,0.5756203844634789,0.10806595534086227
40,0.2154561046694146,0.9165110843522208,0.8464426653725761,2.7755256240385018e-05,0.00027685591778879744,1368.3984053134918,True,1.5688851773045187,0.592034785705648,0.3120915699791934,0.20393531107911794,1.1190232455422138,0.5513692064626509,0.11023727804422379
41,0.20955049820610736,0.9174071294920785,0.8479809761047363,2.7628817001148277e-05,0.000275552285632529,1402.6144993305206,True,1.5807114015391162,0.6286251659819316,0.37826375131382894,0.22335090175584352,1.0410248502523736,0.5797678884704597,0.10638990998268127
42,0.2030413323005692,0.918125433581216,0.8491976686886379,2.7499229726764513e-05,0.0002742161961483654,1436.8070538043976,True,1.4063140652405806,0.5055243927204189,0.5086906263787814,0.2199014336356721,1.0849953071824436,0.4938737045236624,0.10454295575618744
43,0.20695814563602696,0.9187852825437274,0.8503544245447431,2.7366528051618204e-05,0.0002728479961184086,1471.1186311244965,True,1.4243811630354872,0.5646745378000044,0.49677106099781293,0.21496705240674707,1.078847771030048,0.564375705508292,0.10568352043628693
44,0.19519373969953568,0.9188720158168248,0.8504872662680489,2.7230746418436728e-05,0.00027144804065905477,1505.3043866157532,True,1.5200484639688812,0.633774286150317,0.44766430270472735,0.21595022920400525,1.032287236349336,0.6144542570710417,0.1102108359336853
