epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best,fg_mscb_alpha1_mean,fg_mscb_alpha1_std,fg_mscb_alpha3_mean,fg_mscb_alpha3_std,fg_mscb_alpha5_mean,fg_mscb_alpha5_std,fg_mscb_guidance_strength
1,1.2015262165894876,0.2728425306933267,0.16073011394057954,8.4e-06,8.399999999999998e-05,28.455499172210693,True,0.9999692659268434,0.0001240872298162693,0.9999230691299584,8.893932059730505e-05,1.000107664714828,7.670221553712561e-05,0.05015511438250542
2,0.8885429469021884,0.2951510761465345,0.17687821068934031,1.3799999999999998e-05,0.00013799999999999997,51.75520396232605,True,0.9999355271858273,0.0004818226674399822,1.0000833387575845,0.0003092642359180219,0.9999811415928077,0.0003500074137089887,0.04943118616938591
3,0.8011038129979914,0.32983065077236723,0.20265144748347147,1.9199999999999996e-05,0.00019199999999999995,75.11378622055054,True,0.9978607461370271,0.0013872486001734715,0.9991571791327319,0.0008896491048188609,1.0029820765572033,0.0021690363185280443,0.055921681225299835
4,0.7393489772623235,0.3910462643418993,0.25172385360513416,2.4599999999999995e-05,0.00024599999999999996,98.55157566070557,True,0.9902897126373204,0.0034776230874950984,0.9919765414862797,0.00581682427786065,1.0177337444605041,0.00918421553448944,0.07003389298915863
5,0.5582742111249404,0.448359876871109,0.302122420498303,2.9999999999999997e-05,0.0003,121.98324918746948,True,0.9986404913595353,0.007674456316502082,0.9823159451685646,0.006288328713676223,1.0190435640656628,0.006677804740288681,0.06609252840280533
6,0.461436895348809,0.5427553100245339,0.37860895906175884,2.999811826208493e-05,0.0002999805986332205,145.36560821533203,True,1.0135737061043808,0.007854859335328711,0.9768161770027716,0.009349015864422473,1.0096101198159873,0.0024135775853140373,0.06574295461177826
7,0.4179019017653032,0.6363877654075623,0.4671826149736132,2.9992473536744915e-05,0.00029992239956850794,168.70118856430054,True,1.0174636445282976,0.009385586505658775,0.9767813069153563,0.01077320401238825,1.0057550472317984,0.0022946382576328854,0.06315206736326218
8,0.39480095316063274,0.6625692844390869,0.4957794632230486,2.9983067289068734e-05,0.0002998254179114328,191.93236660957336,True,1.0193782076525049,0.009147479827276764,0.9757828738954332,0.010070879246415922,1.004838916168359,0.0016614754220478174,0.06361197680234909
9,0.37277163212949577,0.729305122579847,0.5750887989997864,2.9969901960448513e-05,0.00029968967883358983,215.40317296981812,True,1.017109249560769,0.008254082515017582,0.973852738384086,0.009903135825539174,1.0090380094973976,0.0025092652073755856,0.06489680707454681
10,0.35807860114357687,0.7775769574301583,0.6380505987576076,2.9952980967946045e-05,0.0002995152175660644,238.75674557685852,True,1.0217577026721618,0.015883488501724403,0.9667943111781416,0.018860279731676036,1.0114479827698164,0.006770317161059165,0.06738241016864777
11,0.3504645068537105,0.81190573317664,0.6858408536229815,2.9932308703405904e-05,0.00029930207939028844,262.0602595806122,True,1.008701960063072,0.006821399009860523,0.9664762651783296,0.014829140530472077,1.0248217754437092,0.009065323790626573,0.06668766587972641
12,0.3346522006121549,0.8334048816135952,0.71690605367933,2.990789053231554e-05,0.0002990503196262878,285.29771518707275,True,0.9944232928341833,0.012052006439258947,0.9677363234918236,0.016831342925338274,1.0378403815273125,0.016289410151843993,0.0700748860836029
13,0.3278505303642967,0.8504472545215062,0.7422827993120465,2.987973279241265e-05,0.00029876000361832354,308.52485060691833,True,0.9698587197910323,0.02857316543123419,0.926604295987279,0.06097171177976761,1.103536985203681,0.08620080676168325,0.08704134821891785
14,0.31632480756802994,0.8625492538724627,0.7607952867235456,2.9847842792040242e-05,0.00029843120671793215,331.70887875556946,True,0.4593929700962878,0.2852925727700664,0.3889612834357374,0.27375965851286516,2.1516457455368334,0.55839244150533,0.11304275691509247
15,0.3109102108261802,0.871786756174905,0.7751625009945461,2.9812228808249737e-05,0.00029806401426436796,354.9452414512634,True,0.1735112492923631,0.1707047139479816,0.14646777509239386,0.15559884926738132,2.6800209726867092,0.32609353505953204,0.12382624298334122
16,0.3011094166473909,0.8793970431600299,0.7870272653443473,2.977290008465267e-05,0.0002976585215624534,378.0278263092041,True,0.15188483634409544,0.17021517616812773,0.13757205015054016,0.16169615105670665,2.710543111000938,0.3318281930446492,0.13633836805820465
17,0.27835988348180596,0.8857074209621975,0.7971485257148743,2.9729866829021498e-05,0.0002972148338578424,401.17809009552,True,0.16835260388403706,0.2072724121035682,0.1609228432046834,0.20655266755380638,2.6707245480055097,0.4136390501421371,0.14363031089305878
18,0.27528788339007987,0.890156056199755,0.8042856454849243,2.9683140210640187e-05,0.000296733066309704,424.8784170150757,True,0.27085989044318914,0.29909912425801477,0.29430931339055094,0.34709139246572723,2.4348307971639196,0.6430950961213652,0.15723009407520294
19,0.28218125104904174,0.8932604704584394,0.8092702627182007,2.963273235740521e-05,0.00029621334396083305,448.0899488925934,True,0.37336408260494913,0.3285791134728421,0.6066627935829072,0.6792172207196108,2.01997311972831,0.9696719494682507,0.16605889797210693
20,0.2736864629116925,0.8957763739994594,0.8133394888469151,2.9578656352677758e-05,0.0002956558017051948,471.09232807159424,True,0.21394527835312363,0.2899716845173706,0.3758964983286508,0.6264770576777717,2.4101582201529594,0.8850908122882172,0.17918775975704193
21,0.262479644742879,0.8975399817739215,0.8161868623324803,2.952092623188796e-05,0.00029506058425291383,494.4223806858063,True,0.17855492161594871,0.2543384521573715,0.4289185710673879,0.7445967725144449,2.392526502123421,0.9475127215514082,0.19319798052310944
