row_type,dataset,name,mean,sample_std
metric,Kvasir-SEG,mDice,0.9171429851651192,0.0086885629925588
metric,Kvasir-SEG,mIoU,0.8611158452431361,0.012827480919653194
metric,Kvasir-SEG,F_beta_w,0.887773820178213,0.013986538778206313
metric,Kvasir-SEG,S_alpha,0.9234985368823349,0.006835062305546248
metric,Kvasir-SEG,mE_phi,0.9492578739967668,0.007398063243118769
metric,Kvasir-SEG,maxE_phi,0.9616722898289798,0.0037194829210553683
metric,Kvasir-SEG,MAE,0.02907937213434904,0.0028536913225446956
metric,CVC-ClinicDB,mDice,0.9327797801584325,0.012654505006743248
metric,CVC-ClinicDB,mIoU,0.8792255615354866,0.0185439669357627
metric,CVC-ClinicDB,F_beta_w,0.91495696691656,0.016989973908195715
metric,CVC-ClinicDB,S_alpha,0.9450949808046248,0.00811439640571515
metric,CVC-ClinicDB,mE_phi,0.9749660880751481,0.0082479180952029
metric,CVC-ClinicDB,maxE_phi,0.9828398234407689,0.006566385832460689
metric,CVC-ClinicDB,MAE,0.012452237954903116,0.0026077842101956497
metric,CVC-300,mDice,0.889425600402885,0.009253325480767313
metric,CVC-300,mIoU,0.8155597829984295,0.010378418861926166
metric,CVC-300,F_beta_w,0.8649063004853675,0.009395289354724551
metric,CVC-300,S_alpha,0.9323017611586863,0.004051800612116273
metric,CVC-300,mE_phi,0.9600051140949797,0.0078964015861321
metric,CVC-300,maxE_phi,0.970400891782066,0.0055371375019858445
metric,CVC-300,MAE,0.006978295934978363,0.0002910030803263045
metric,CVC-ColonDB,mDice,0.7757827013931436,0.005678246789883214
metric,CVC-ColonDB,mIoU,0.694425789133741,0.005132716169077887
metric,CVC-ColonDB,F_beta_w,0.7507515405333925,0.005968922935250276
metric,CVC-ColonDB,S_alpha,0.8532603839576155,0.0014413224343412414
metric,CVC-ColonDB,mE_phi,0.8821687935247672,0.004611040274843728
metric,CVC-ColonDB,maxE_phi,0.8917754290794419,0.005044679417229987
metric,CVC-ColonDB,MAE,0.035160430995995376,0.0013288929956896463
metric,ETIS-LaribPolypDB,mDice,0.770708240609861,0.013054145852131471
metric,ETIS-LaribPolypDB,mIoU,0.6884493085011298,0.013706895010218597
metric,ETIS-LaribPolypDB,F_beta_w,0.7312707494920738,0.01655151137240636
metric,ETIS-LaribPolypDB,S_alpha,0.8683873402793051,0.006740715361067752
metric,ETIS-LaribPolypDB,mE_phi,0.882726316054475,0.0042044943097576705
metric,ETIS-LaribPolypDB,maxE_phi,0.8971995694586686,0.004473153143062894
metric,ETIS-LaribPolypDB,MAE,0.013503107492335397,0.0011646623623045441
complexity,,trainable_parameters,29190098.0,0.0
complexity,,total_parameters,29190098.0,0.0
complexity,,macs,13601058240.0,0.0
complexity,,flops,27202116480.0,0.0
complexity,,gmacs,13.60105824,0.0
complexity,,gflops,27.20211648,0.0
