row_type,dataset,name,mean,sample_std
metric,Kvasir-SEG,mDice,0.9099909030397733,0.0025155878659967063
metric,Kvasir-SEG,mIoU,0.8511576370398204,0.003980157142627208
metric,Kvasir-SEG,F_beta_w,0.8779427307820472,0.0026781298661991007
metric,Kvasir-SEG,S_alpha,0.9178774367540976,0.0023566843001160843
metric,Kvasir-SEG,mE_phi,0.9424383361807811,0.0017081107233993598
metric,Kvasir-SEG,maxE_phi,0.9562701256611345,0.0013887310146114668
metric,Kvasir-SEG,MAE,0.03210779410458829,0.0012671621538954592
metric,CVC-ClinicDB,mDice,0.9217341561475167,0.009685059948633619
metric,CVC-ClinicDB,mIoU,0.8632157581151233,0.01088732566956528
metric,CVC-ClinicDB,F_beta_w,0.8990468956743013,0.00987686022691893
metric,CVC-ClinicDB,S_alpha,0.9375012848156313,0.006517464195226198
metric,CVC-ClinicDB,mE_phi,0.969399131904014,0.005591924649219007
metric,CVC-ClinicDB,maxE_phi,0.9778110202133868,0.005067208533509703
metric,CVC-ClinicDB,MAE,0.014535337450826528,0.0011902219159002892
metric,CVC-300,mDice,0.8699588880770737,0.007787480746467075
metric,CVC-300,mIoU,0.7928188771837287,0.00939754040831226
metric,CVC-300,F_beta_w,0.8445939699175197,0.009524900247431954
metric,CVC-300,S_alpha,0.9213981512745574,0.005062484368234177
metric,CVC-300,mE_phi,0.945394519604215,0.0067693431194785795
metric,CVC-300,maxE_phi,0.9547982921415339,0.009539928699059461
metric,CVC-300,MAE,0.007743443346255594,0.0003893538536178869
metric,CVC-ColonDB,mDice,0.768616765224407,0.00477987179593653
metric,CVC-ColonDB,mIoU,0.6811364996610481,0.00620350205677883
metric,CVC-ColonDB,F_beta_w,0.7381005967226306,0.006128447005017249
metric,CVC-ColonDB,S_alpha,0.8460172184491355,0.0038987926017976697
metric,CVC-ColonDB,mE_phi,0.8758519025057506,0.0025992893432177683
metric,CVC-ColonDB,maxE_phi,0.8853634357268119,0.0019285907348680245
metric,CVC-ColonDB,MAE,0.03733012405262214,0.00014155069886354985
metric,ETIS-LaribPolypDB,mDice,0.7379183818089925,0.0075084703892869635
metric,ETIS-LaribPolypDB,mIoU,0.657057489187813,0.008276669580145739
metric,ETIS-LaribPolypDB,F_beta_w,0.7031713422956908,0.011787363509325632
metric,ETIS-LaribPolypDB,S_alpha,0.8547290474503697,0.005073405892434705
metric,ETIS-LaribPolypDB,mE_phi,0.8684108364279832,0.011084947077398594
metric,ETIS-LaribPolypDB,maxE_phi,0.8816774932872483,0.014254273812172787
metric,ETIS-LaribPolypDB,MAE,0.01424808754715551,0.0007099103301670804
complexity,,trainable_parameters,29572851.0,0.0
complexity,,total_parameters,29572851.0,0.0
complexity,,macs,13645998240.0,0.0
complexity,,flops,27291996480.0,0.0
complexity,,gmacs,13.64599824,0.0
complexity,,gflops,27.29199648,0.0
