epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,1.135069649727618,0.04749912289636476,0.024362250098160336,1e-05,0.0001,28.493192434310913,True
2,0.9889641531178208,0.05160367169550487,0.02653037863118308,1e-05,0.0001,49.69279146194458,True
3,0.9628028840315147,0.03403032145329884,0.01733055604355676,1e-05,0.0001,71.03366446495056,False
4,0.7645670615258764,0.283786130802972,0.1666921472975186,1e-05,0.0001,91.8365740776062,True
5,0.5960313086626959,0.5842282772064209,0.4140575613294329,1e-05,0.0001,113.09962844848633,True
6,0.5665178382005848,0.6898840410368783,0.5276903978415898,1e-05,0.0001,134.11771774291992,True
7,0.537980348360343,0.7301817110606602,0.5760450278009687,1e-05,0.0001,155.17598867416382,True
8,0.5203756929421034,0.7487884845052447,0.5994888373783657,1e-05,0.0001,176.35692858695984,True
9,0.5006856893906828,0.7623651453426906,0.6170889394623893,1e-05,0.0001,197.57903838157654,True
10,0.4909661656520406,0.7737044095993042,0.6320682338305882,1e-05,0.0001,218.7742509841919,True
11,0.7352860540640159,0.7767559630530221,0.636153621332986,9.999444846167474e-06,9.99938933078422e-05,246.3114423751831,True
12,0.6626350010027651,0.7796583260808673,0.6399846076965332,9.997779521645793e-06,9.997557473810371e-05,274.07503747940063,True
13,0.6271946097983688,0.7842182772500175,0.6461535777364459,9.995004437328866e-06,9.994504881061753e-05,301.58271408081055,True
14,0.5864721008988677,0.7906542420387268,0.6549769554819379,9.991120277927224e-06,9.990232305719945e-05,329.20886611938477,True
15,0.5845430483583545,0.7978855967521667,0.664959158216204,9.986128001799078e-06,9.984740801978984e-05,356.9533829689026,True
16,0.5630802209260034,0.8065588814871651,0.6770458136286054,9.980028840713862e-06,9.978031724785246e-05,384.58300971984863,True
17,0.5484472151662483,0.8128760542188372,0.6860242911747524,9.972824299548312e-06,9.97010672950314e-05,412.25768995285034,True
18,0.546808155345135,0.8179753337587629,0.6933321697371346,9.964516155915153e-06,9.960967771506666e-05,439.7513256072998,True
19,0.5241128655730701,0.822902432509831,0.7004227127347674,9.95510645972451e-06,9.950617105696959e-05,467.54680252075195,True
20,0.5094167013637355,0.8275267481803894,0.7070824759347099,9.94459753267812e-06,9.939057285945931e-05,495.09179639816284,True
21,0.5171770736819408,0.8311738116400582,0.7123578361102513,9.932991967696484e-06,9.92629116446613e-05,522.4706883430481,True
22,0.49378227845567174,0.8348391652107239,0.7176997746740069,9.920292628279101e-06,9.912321891107009e-05,550.2434365749359,True
23,0.48859597718129394,0.8388311692646572,0.7236243145806449,9.906502647797948e-06,9.89715291257774e-05,577.8920874595642,True
24,0.4734282845356425,0.8411618556295123,0.727078880582537,9.891625428724366e-06,9.880787971596799e-05,605.440708398819,True
25,0.4769218954883638,0.8421981334686279,0.7286102431161063,9.875664641789547e-06,9.863231105968498e-05,632.9944376945496,True
26,0.4672676886691422,0.8431106380053929,0.7299492529460362,9.858624225078841e-06,9.844486647586723e-05,660.4983882904053,True
27,0.4670198095626518,0.8455273594175067,0.7335445966039386,9.840508383060093e-06,9.824559221366101e-05,688.1437394618988,True
