row_type,dataset,name,mean,sample_std
metric,Kvasir-SEG,mDice,0.9131804264585177,0.0015956210654209573
metric,Kvasir-SEG,mIoU,0.8558406702677409,0.001750640579177105
metric,Kvasir-SEG,F_beta_w,0.8803383688174997,0.0036842443732656807
metric,Kvasir-SEG,S_alpha,0.9192342040863534,0.0010068524757560278
metric,Kvasir-SEG,mE_phi,0.9439206196996742,0.0012704942229161268
metric,Kvasir-SEG,maxE_phi,0.9555772872921268,0.0006807814292642106
metric,Kvasir-SEG,MAE,0.03146416567868647,0.00012405195681378691
metric,CVC-ClinicDB,mDice,0.9230358168006003,0.0077922804932892996
metric,CVC-ClinicDB,mIoU,0.865629005336383,0.008907295965488423
metric,CVC-ClinicDB,F_beta_w,0.9006307726766262,0.007816032803983262
metric,CVC-ClinicDB,S_alpha,0.9388245579714638,0.004177403755683751
metric,CVC-ClinicDB,mE_phi,0.9693111138077207,0.005023788981848111
metric,CVC-ClinicDB,maxE_phi,0.9780164897651384,0.005041197323199075
metric,CVC-ClinicDB,MAE,0.014480223981773071,0.0009526584354238216
metric,CVC-300,mDice,0.8781524883376227,0.00223111653292668
metric,CVC-300,mIoU,0.8029307574033737,0.0033098035756158237
metric,CVC-300,F_beta_w,0.8520190578623009,0.0014189424227366843
metric,CVC-300,S_alpha,0.9267089877438,0.0026505274581918466
metric,CVC-300,mE_phi,0.9503579662203129,0.0013281533511309341
metric,CVC-300,maxE_phi,0.9591701814044983,0.0018593644108746473
metric,CVC-300,MAE,0.007229211624284632,1.4219592460443691e-05
metric,CVC-ColonDB,mDice,0.77012045684356,0.007672088126578137
metric,CVC-ColonDB,mIoU,0.6851325895775355,0.006897286358904627
metric,CVC-ColonDB,F_beta_w,0.7415002894126724,0.0054211422962581945
metric,CVC-ColonDB,S_alpha,0.8487899907999433,0.004461120655537026
metric,CVC-ColonDB,mE_phi,0.8772669608429735,0.003425462272641382
metric,CVC-ColonDB,maxE_phi,0.8864584043783588,0.003281398773530079
metric,CVC-ColonDB,MAE,0.03695065603465898,0.0012722307332131495
metric,ETIS-LaribPolypDB,mDice,0.741530178517284,0.004830227666115088
metric,ETIS-LaribPolypDB,mIoU,0.6596790892580925,0.006137481131655033
metric,ETIS-LaribPolypDB,F_beta_w,0.7009778852147553,0.004135501436433504
metric,ETIS-LaribPolypDB,S_alpha,0.854098688146969,0.0017791480538041971
metric,ETIS-LaribPolypDB,mE_phi,0.864644898083689,0.006001769881538936
metric,ETIS-LaribPolypDB,maxE_phi,0.876996192075477,0.004745065335345137
metric,ETIS-LaribPolypDB,MAE,0.014165340641159815,0.00039448145377612574
complexity,,trainable_parameters,29197010.0,0.0
complexity,,total_parameters,29197010.0,0.0
complexity,,macs,13639530432.0,0.0
complexity,,flops,27279060864.0,0.0
complexity,,gmacs,13.639530432,0.0
complexity,,gflops,27.279060864,0.0
