row_type,dataset,name,mean,sample_std
metric,Kvasir-SEG,mDice,0.9133549254139265,0.0008808213516475295
metric,Kvasir-SEG,mIoU,0.8551062888900439,0.0012812500043707464
metric,Kvasir-SEG,F_beta_w,0.881514548123637,0.0014341501268041732
metric,Kvasir-SEG,S_alpha,0.9189677794854761,0.000744669715781957
metric,Kvasir-SEG,mE_phi,0.9451908768145022,0.00029309425475415666
metric,Kvasir-SEG,maxE_phi,0.9574963993059769,0.0009021722101511013
metric,Kvasir-SEG,MAE,0.03161318514223525,0.0004410153259784375
metric,CVC-ClinicDB,mDice,0.9276169363849907,0.002642584821847881
metric,CVC-ClinicDB,mIoU,0.8712370267478369,0.0032556592977644213
metric,CVC-ClinicDB,F_beta_w,0.9069795985651015,0.0035683050186806967
metric,CVC-ClinicDB,S_alpha,0.9412051985242473,0.0015983476586103349
metric,CVC-ClinicDB,mE_phi,0.9716323490726153,0.00232270309049931
metric,CVC-ClinicDB,maxE_phi,0.978767226663949,0.002080704465467209
metric,CVC-ClinicDB,MAE,0.013616697939503214,0.00046157551469500904
metric,CVC-300,mDice,0.8846572109394603,0.008262007263398728
metric,CVC-300,mIoU,0.8098923414945602,0.010105646567620953
metric,CVC-300,F_beta_w,0.8594457207043512,0.007754071546494927
metric,CVC-300,S_alpha,0.9292466673409808,0.004401295343729534
metric,CVC-300,mE_phi,0.9544488921273719,0.0062426932286478035
metric,CVC-300,maxE_phi,0.9639325792676733,0.006301304442924983
metric,CVC-300,MAE,0.007052060286110931,0.0003304984374367031
metric,CVC-ColonDB,mDice,0.7670709433737649,0.003747480495647495
metric,CVC-ColonDB,mIoU,0.6836021495887001,0.005305957124257586
metric,CVC-ColonDB,F_beta_w,0.7412391642523307,0.005512628798066036
metric,CVC-ColonDB,S_alpha,0.8464425431087756,0.00295342999057926
metric,CVC-ColonDB,mE_phi,0.8776143698930029,0.0033429412992523506
metric,CVC-ColonDB,maxE_phi,0.8868084958539197,0.0021029253817864634
metric,CVC-ColonDB,MAE,0.036807967833838474,0.0011651171353580059
metric,ETIS-LaribPolypDB,mDice,0.739913440591363,0.021015686943889902
metric,ETIS-LaribPolypDB,mIoU,0.6587719581704131,0.02016326505226246
metric,ETIS-LaribPolypDB,F_beta_w,0.7030025070366887,0.018656989199069187
metric,ETIS-LaribPolypDB,S_alpha,0.8537027182988861,0.00991007665773261
metric,ETIS-LaribPolypDB,mE_phi,0.8630880163716264,0.00929829770727807
metric,ETIS-LaribPolypDB,maxE_phi,0.8757008609730008,0.009160244070196529
metric,ETIS-LaribPolypDB,MAE,0.01436679207987636,0.0009194678391018894
complexity,,trainable_parameters,29215154.0,0.0
complexity,,total_parameters,29215154.0,0.0
complexity,,macs,14369263040.0,0.0
complexity,,flops,28738526080.0,0.0
complexity,,gmacs,14.36926304,0.0
complexity,,gflops,28.73852608,0.0
